"itembase","itembase"
"API key","API Schlüssel"
"Secret key","Sicherheitsschlüssel"
"Enable Debug mode (optional)","Debug-Modus aktivieren (optional)"
"Please select your shop from Configuration Scope before changing configuration.","Bitte wählen Sie Ihren Shop im Konfig.-Bereich aus, bevor Sie Ihre Konfiguration ändern."
"If you have no Itembase keys click here!","Falls Sie noch keinen itembase-Schlüssel haben, klicken Sie hier!"
"Registration error.","Fehler bei der Registrierung."
"Registration completed.","Registrierung erfolgreich."
"Click here to continue.","Hier klicken um fortzusetzen"
"Curl error.	","Curl Fehler."
"Email","E-Mail"
"Firstname","Vorname"
"Lastname","Nachname"
"Register shop","Shop"
"I accept itembase <a href='http://partners.itembase.com/docs/tac.pdf' target='_blank' style='text-decoration:underline;'>Terms</a>","Ich akzeptiere die itembase <a href='http://partners.itembase.com/docs/tac.pdf' target='_blank' style='text-decoration:underline;'>AGB</a>"
"Register","Registrieren"
"Accept itembase Terms first","Bitte zuerst die AGB´s akzeptieren"
